campaign_id,campaign_name,channel,start_date,end_date
1,Prime Time Promo,Digital,4/25/23,5/3/23
2,Spring Campaign,Radio,5/23/23,7/16/23
3,Retargeting Splash,TV,7/12/24,7/24/24
4,Oscar Boost,OOH,4/6/23,4/26/23
5,Super Bowl Run,Radio,1/28/23,3/11/23
6,Oscar Surge,OOH,7/12/24,8/14/24
7,Summer Sprint,Digital,10/12/23,12/9/23
8,Prime Time Push,Digital,3/8/24,4/5/24
9,Winter Drive,TV,12/11/23,12/24/23
10,Prime Time Sprint,TV,1/3/24,2/1/24
11,Spring Drive,TV,4/15/24,5/26/24
12,Relaunch Blast,Digital,7/19/24,8/13/24
13,Oscar Sprint,Social,3/13/23,3/22/23
14,Spring Drive,Social,3/23/23,4/13/23
15,Relaunch Push,Social,4/9/24,5/26/24
16,Prime Time Run,Radio,12/30/23,1/19/24
17,Back to School Boost,Radio,3/15/23,4/29/23
18,Loyalty Drive,Social,9/8/23,9/25/23
19,Launch Storm,TV,7/24/24,8/14/24
20,Fall Sprint,Social,8/23/23,10/21/23
21,Winter Promo,OOH,2/15/24,3/10/24
22,Seasonal Drive,Radio,11/19/23,12/9/23
23,Prime Time Push,Digital,4/14/24,4/30/24
24,Prime Time Run,OOH,7/28/24,9/7/24
25,Awareness Wave,Digital,3/14/24,4/27/24
26,Seasonal Frenzy,TV,5/22/23,6/30/23
27,Back to School Sprint,Radio,4/23/23,5/9/23
28,Winter Drive,Streaming,3/8/24,4/22/24
29,Flash Blitz,OOH,9/2/24,10/8/24
30,Spring Campaign,OOH,1/12/23,3/3/23
31,Launch Frenzy,Social,10/1/23,11/26/23
32,Loyalty Splash,Radio,3/21/24,4/7/24
33,Back to School Boost,TV,9/27/23,11/5/23
34,Flash Blast,Digital,11/2/23,1/1/24
35,Back to School Boost,OOH,6/6/23,7/6/23
36,Launch Surge,TV,1/1/23,2/15/23
37,Weekend Promo,TV,4/25/23,5/25/23
38,Winter Frenzy,Radio,9/4/23,10/17/23
39,Winter Sprint,OOH,5/12/24,7/10/24
40,Seasonal Boost,Digital,5/9/23,5/24/23
41,Retargeting Promo,OOH,9/29/23,11/8/23
42,Weekend Drive,Radio,7/25/23,9/15/23
43,Flash Surge,TV,1/18/24,2/22/24
44,Winter Wave,TV,9/11/23,10/2/23
45,Oscar Blast,Digital,8/25/24,10/6/24
46,Fall Promo,TV,1/8/23,1/19/23
47,Winter Boost,Digital,2/2/23,3/2/23
48,Seasonal Promo,OOH,10/13/23,12/1/23
49,Seasonal Promo,Streaming,5/16/23,7/8/23
50,Spring Frenzy,Radio,2/21/24,3/11/24
51,Retargeting Drive,Streaming,3/17/24,4/15/24
52,Spring Splash,Streaming,2/25/23,4/16/23
53,Spring Promo,Digital,12/14/23,2/10/24
54,Loyalty Push,Streaming,7/14/23,8/24/23
55,Loyalty Promo,TV,7/7/23,7/31/23
56,Grand Frenzy,TV,3/29/24,5/26/24
57,Summer Frenzy,Digital,7/7/24,9/5/24
58,Seasonal Surge,Digital,6/20/23,7/23/23
59,Back to School Drive,TV,2/15/24,2/25/24
60,Loyalty Blitz,Streaming,2/4/24,2/27/24
61,Seasonal Push,Digital,7/23/24,9/10/24
62,Fall Blast,Radio,10/31/23,11/20/23
63,Launch Splash,TV,7/9/24,7/19/24
64,Flash Storm,OOH,8/21/24,9/27/24
65,Flash Frenzy,Digital,6/11/23,6/21/23
66,Winter Campaign,Digital,3/12/23,4/26/23
67,Oscar Blast,OOH,2/18/24,3/3/24
68,Winter Drive,Radio,2/10/23,3/28/23
69,Flash Wave,Social,8/20/24,10/2/24
70,Launch Promo,Social,7/29/23,9/16/23
71,Weekend Surge,Social,2/10/24,2/25/24
72,Loyalty Blast,OOH,3/16/23,3/23/23
73,Grand Promo,OOH,4/13/23,4/24/23
74,Relaunch Frenzy,Digital,9/29/23,10/14/23
75,Back to School Surge,OOH,1/14/24,2/8/24
76,Flash Splash,Radio,11/6/23,12/22/23
77,Spring Push,Social,7/21/24,8/16/24
78,Grand Push,Social,4/29/23,5/12/23
79,Super Bowl Run,Social,10/16/23,11/30/23
80,Prime Time Boost,Streaming,7/28/23,9/16/23
81,Winter Campaign,Streaming,9/15/23,9/25/23
82,Summer Wave,Digital,10/11/23,10/20/23
83,Loyalty Boost,Radio,9/26/23,10/13/23
84,Summer Frenzy,TV,3/13/24,4/24/24
85,Fall Storm,Social,6/2/23,7/13/23
86,Holiday Drive,Digital,8/19/24,9/30/24
87,Relaunch Sprint,TV,2/12/23,3/10/23
88,Oscar Campaign,TV,1/2/24,1/22/24
89,Grand Storm,Streaming,12/29/23,2/23/24
90,Holiday Promo,Digital,9/27/24,11/20/24
91,Summer Push,Radio,7/1/23,8/3/23
92,Retargeting Sprint,Radio,12/7/23,2/2/24
93,Back to School Sprint,Radio,9/12/23,10/6/23
94,Fall Storm,Streaming,4/21/23,5/22/23
95,Loyalty Wave,Social,8/16/23,9/4/23
96,Summer Campaign,Digital,8/22/23,9/12/23
97,Prime Time Storm,TV,2/13/24,3/12/24
98,Flash Drive,Radio,10/13/23,11/11/23
99,Summer Frenzy,Social,7/3/24,7/31/24
100,Prime Time Splash,TV,7/2/23,8/15/23
101,Relaunch Run,Social,9/2/24,10/6/24
102,Flash Frenzy,Streaming,3/22/24,5/6/24
103,Prime Time Splash,Radio,8/13/24,9/1/24
104,Flash Sprint,OOH,3/22/24,3/29/24
105,Retargeting Frenzy,Radio,7/21/23,8/20/23
106,Launch Campaign,TV,12/5/23,1/20/24
107,Weekend Campaign,Streaming,11/4/23,12/13/23
108,Weekend Boost,Digital,12/1/23,1/2/24
109,Awareness Campaign,Radio,7/16/23,8/18/23
110,Weekend Drive,OOH,6/28/23,8/13/23
111,Weekend Promo,Streaming,1/1/23,1/27/23
112,Launch Surge,Streaming,8/16/24,9/30/24
113,Super Bowl Boost,Streaming,3/28/24,5/17/24
114,Winter Blitz,OOH,6/23/23,8/11/23
115,Winter Storm,Digital,9/26/24,10/24/24
116,Super Bowl Push,TV,11/14/23,12/5/23
117,Seasonal Blast,TV,2/17/23,3/11/23
118,Super Bowl Run,Radio,4/11/24,5/14/24
119,Awareness Promo,Digital,1/29/24,3/7/24
120,Spring Sprint,Streaming,1/6/23,3/2/23
121,Flash Surge,TV,8/13/23,8/31/23
122,Spring Surge,Digital,7/24/24,8/15/24
123,Flash Boost,OOH,4/20/24,6/8/24
124,Loyalty Blast,Radio,11/21/23,1/15/24
125,Grand Surge,Digital,5/31/24,7/4/24
126,Prime Time Sprint,Digital,5/1/24,6/5/24
127,Flash Surge,Radio,10/11/23,12/6/23
128,Loyalty Frenzy,Radio,9/2/23,9/26/23
129,Prime Time Wave,Social,10/20/23,11/11/23
130,Holiday Push,Digital,7/7/24,7/19/24
131,Holiday Run,Digital,1/28/24,3/19/24
132,Retargeting Wave,OOH,3/7/23,4/9/23
133,Fall Promo,Streaming,4/22/24,5/25/24
134,Summer Storm,OOH,2/3/24,3/30/24
135,Summer Wave,Social,1/25/24,3/2/24
136,Retargeting Boost,Radio,2/4/24,4/4/24
137,Oscar Surge,Digital,7/13/24,9/9/24
138,Seasonal Splash,Streaming,10/7/23,11/10/23
139,Awareness Run,Digital,12/11/23,1/29/24
140,Grand Splash,Streaming,4/23/24,5/8/24
141,Summer Frenzy,Radio,8/29/24,10/11/24
142,Loyalty Push,TV,3/14/24,3/29/24
143,Launch Promo,Streaming,9/24/23,10/25/23
144,Awareness Blitz,Streaming,12/1/23,12/29/23
145,Winter Surge,TV,9/16/23,11/15/23
146,Relaunch Promo,Radio,7/6/24,7/16/24
147,Fall Sprint,TV,3/12/23,5/7/23
148,Summer Blast,Digital,9/11/23,9/30/23
149,Seasonal Campaign,TV,9/2/23,9/17/23
150,Loyalty Run,Social,7/31/24,8/20/24
151,Spring Sprint,Digital,1/13/24,1/30/24
152,Summer Blitz,OOH,11/15/23,11/28/23
153,Super Bowl Frenzy,OOH,1/20/24,2/21/24
