,plan_encoded,country_encoded,acquisition_channel_encoded,primary_device_encoded,age_encoded,show_genre_encoded,lifecycle_stage_encoded,is_bundled_encoded,nps_score,has_showtime_add_on_encoded
0,0,4,4,3,26,5,0,0,6.2,0
1,2,4,3,4,41,3,0,0,6.0,0
2,3,0,2,2,42,4,0,1,6.4,1
3,2,0,3,5,27,1,2,0,5.5,0
4,0,0,4,4,23,2,0,1,2.3,0
5,1,4,5,2,12,3,2,0,4.3,0
6,0,4,0,3,7,1,0,1,3.4,0
7,3,2,1,3,16,1,2,0,6.6,1
8,3,1,5,2,12,4,3,1,6.7,1
9,0,4,3,0,25,6,0,0,6.4,1
10,0,2,5,4,11,1,0,0,10.0,0
11,2,2,0,4,5,0,1,1,8.3,0
12,1,4,3,3,22,5,3,0,2.2,0
13,2,2,3,4,22,1,2,0,8.1,1
14,2,1,1,1,18,2,1,0,5.8,0
15,1,4,3,4,9,2,0,0,5.5,0
16,3,1,4,0,24,2,2,1,6.4,1
17,0,1,1,1,14,2,1,1,5.0,0
18,3,4,3,3,34,7,1,1,8.5,1
19,2,1,4,0,15,2,0,0,7.2,0
20,3,0,2,3,13,2,0,1,6.1,1
21,1,4,3,1,3,2,0,0,8.3,0
22,3,0,1,3,18,1,0,1,8.7,1
23,1,3,3,2,10,0,1,1,7.3,0
24,2,4,1,4,19,3,3,1,9.9,0
25,0,4,1,4,31,2,0,0,6.7,0
26,0,4,5,3,21,4,1,0,2.1,0
27,1,3,1,4,24,4,0,1,9.8,0
28,2,0,0,5,8,2,1,0,5.4,0
29,2,4,1,2,24,4,3,1,5.3,0
30,1,4,4,1,21,2,0,0,6.4,1
31,1,4,5,4,15,2,1,1,5.6,0
32,1,1,2,0,24,4,0,0,7.1,0
33,2,4,3,0,16,0,4,0,3.4,0
34,1,4,0,5,15,7,1,0,4.7,0
35,0,4,1,0,25,1,0,1,6.4,0
36,2,4,1,5,23,5,0,0,6.4,0
37,1,4,4,1,19,2,0,1,6.6,0
38,2,0,2,5,17,2,0,1,7.2,0
39,1,3,3,5,3,6,1,0,9.0,0
40,3,4,2,3,31,1,0,0,4.5,1
41,3,0,4,5,0,1,0,0,7.8,1
42,3,3,0,3,6,4,1,0,5.3,1
43,1,2,0,5,12,3,0,1,3.1,1
44,2,4,0,4,5,1,0,0,6.4,0
45,0,2,1,0,41,1,0,1,6.4,0
46,3,4,3,4,31,2,0,0,3.8,1
47,1,4,2,2,38,2,2,1,3.0,0
48,0,4,1,2,23,4,0,1,8.2,0
49,3,4,2,1,1,0,0,0,7.6,1
50,3,3,3,2,23,1,0,0,7.3,1
51,1,3,5,4,23,2,1,0,7.1,0
52,0,2,0,3,46,6,2,0,7.5,0
53,2,4,5,3,29,1,0,1,4.4,0
54,3,3,5,5,36,7,2,1,4.7,1
55,2,3,1,1,25,3,4,0,8.3,0
56,2,3,5,2,16,7,0,1,6.4,0
57,1,3,1,4,8,4,0,0,6.3,0
58,2,1,0,3,23,4,0,0,8.3,0
59,1,4,5,2,40,5,0,0,5.9,1
60,3,4,5,2,28,7,0,0,4.6,1
61,1,2,5,0,26,4,2,1,6.0,0
62,3,1,5,5,26,1,0,1,6.3,1
63,3,0,0,5,0,3,3,1,5.5,1
64,0,1,0,2,22,2,3,1,3.8,0
65,0,4,3,5,25,0,0,0,4.6,0
66,0,4,0,4,20,7,4,1,4.0,0
67,0,1,1,3,27,7,0,1,6.4,1
68,2,4,2,2,0,1,2,1,4.4,1
69,2,4,5,1,27,4,2,0,6.4,0
70,0,4,2,1,27,7,3,0,9.0,0
71,3,4,3,0,29,2,0,0,5.8,1
72,2,4,0,1,9,7,0,0,6.0,0
73,3,4,4,2,21,1,0,1,10.0,1
74,0,1,2,0,29,2,0,0,6.4,0
75,1,1,3,5,35,1,0,0,6.6,0
76,3,1,5,2,9,4,0,1,8.0,1
77,0,3,0,5,23,7,3,0,6.6,0
78,3,0,1,0,50,0,0,1,7.9,1
79,3,4,0,0,22,2,2,0,6.4,1
80,0,0,1,2,8,1,2,0,6.2,0
81,3,4,4,4,32,4,0,0,6.4,1
82,1,1,2,2,13,2,0,0,5.1,1
83,0,4,0,5,25,4,3,0,3.7,0
84,2,4,3,4,49,6,1,0,8.8,0
85,3,0,4,2,13,1,0,0,9.3,1
86,3,2,5,0,26,3,4,0,8.2,1
87,1,4,4,2,19,1,3,0,0.0,0
88,2,4,3,5,16,2,2,1,3.8,0
89,0,4,5,5,0,4,0,0,5.5,0
90,1,1,5,4,40,2,0,1,3.3,0
91,3,4,0,2,20,2,2,1,4.3,1
92,2,4,5,3,22,7,0,0,6.4,0
93,1,1,2,0,14,0,2,1,6.4,0
94,1,3,0,4,42,2,0,0,3.8,0
95,0,4,4,3,0,7,4,1,6.2,0
96,0,4,0,0,23,2,0,0,5.1,0
97,0,4,0,3,13,6,1,0,5.2,0
98,3,1,0,3,24,4,0,1,5.0,1
99,1,0,4,4,24,4,3,0,8.3,0
100,1,0,5,1,8,2,0,0,5.3,0
101,3,2,1,5,28,1,3,0,6.5,1
102,0,4,0,3,37,1,3,0,5.2,0
103,1,4,5,1,17,2,0,1,6.0,0
104,2,4,0,2,31,7,1,0,6.4,0
105,3,4,4,1,20,2,1,0,8.0,1
106,1,4,0,5,24,4,0,1,6.2,0
107,0,1,1,1,28,2,1,0,4.7,0
108,0,1,2,5,5,2,1,1,3.8,0
109,2,1,1,3,31,2,0,0,6.4,1
110,3,4,1,0,19,7,0,0,4.5,1
111,1,4,0,4,10,2,0,1,8.6,0
112,3,3,1,1,8,0,0,1,5.8,1
113,0,4,3,4,12,5,0,0,4.7,1
114,0,2,0,3,23,2,0,0,5.4,0
115,3,4,4,5,23,7,4,1,3.3,1
116,0,4,2,4,9,0,0,0,6.0,0
117,2,4,4,5,40,5,0,1,6.4,0
118,1,4,4,4,19,2,0,0,4.3,0
119,0,1,0,2,15,7,0,1,6.4,0
120,1,1,5,1,27,2,0,1,9.9,0
121,2,4,4,4,25,2,3,1,6.4,0
122,3,4,3,0,23,2,0,0,6.5,1
123,3,1,5,4,9,2,1,1,6.4,1
124,3,4,2,5,40,6,0,1,6.4,1
125,0,4,3,2,9,2,2,0,8.4,0
126,1,1,3,0,50,7,1,1,4.7,0
127,0,0,4,1,11,5,0,1,1.8,0
128,3,4,4,3,9,6,0,0,6.8,1
129,0,0,2,3,46,4,0,1,8.6,0
130,0,4,3,4,7,1,0,0,6.4,0
131,3,4,4,4,45,5,0,1,6.4,1
132,3,4,0,1,0,5,1,0,9.5,1
133,0,4,3,2,37,7,0,0,3.0,0
134,1,3,1,4,20,2,1,1,6.6,0
135,2,4,4,0,28,0,0,0,4.2,1
136,3,1,5,5,21,0,0,1,6.4,1
137,3,3,0,2,4,2,0,1,3.1,1
138,1,1,0,2,24,2,2,0,4.9,0
139,1,4,5,3,21,6,0,1,9.1,0
140,1,0,1,2,48,6,0,0,10.0,0
141,0,3,0,0,33,7,0,0,7.9,0
142,0,4,3,3,6,7,0,0,8.0,0
143,3,4,5,4,0,3,3,0,3.9,1
144,2,4,4,4,16,6,4,1,8.1,0
145,2,4,2,0,21,2,2,0,10.0,0
146,3,4,1,2,0,0,1,1,6.4,1
147,1,2,5,0,19,2,1,1,2.0,0
148,0,4,4,3,1,2,0,1,6.4,0
149,1,4,3,1,6,2,1,0,5.4,0
150,0,4,0,1,19,7,3,1,8.6,0
151,0,4,5,1,27,7,1,1,5.3,1
152,0,4,3,2,18,6,1,1,4.2,0
153,0,3,5,2,3,6,0,1,10.0,0
154,2,4,1,5,10,5,4,0,6.4,0
155,0,4,1,2,16,6,0,0,7.9,0
156,1,4,2,0,12,7,1,0,5.2,0
157,3,3,2,4,0,5,0,1,3.2,1
158,0,4,5,5,43,3,0,0,6.0,0
159,2,1,4,4,24,3,2,0,10.0,0
160,2,4,0,5,18,2,0,0,4.4,0
161,2,4,4,0,22,4,0,1,4.8,1
162,3,1,4,5,10,2,1,0,4.1,1
163,3,4,1,0,32,2,0,0,6.5,1
164,2,4,4,3,21,7,1,0,4.6,0
165,2,4,4,4,27,1,3,0,6.4,0
166,3,2,5,4,7,7,0,0,3.5,1
167,0,4,0,4,46,7,0,0,6.4,0
168,2,4,2,3,10,2,0,1,6.4,0
169,2,3,4,3,7,2,1,0,6.6,0
170,0,3,4,4,23,2,0,1,6.4,0
171,0,4,0,1,7,4,3,0,5.2,0
172,3,4,0,1,27,7,0,0,4.3,1
173,3,2,0,5,30,6,4,0,6.4,1
174,2,4,5,3,10,2,0,1,7.8,0
175,1,4,4,4,0,3,1,0,2.9,0
176,3,4,5,4,23,2,3,1,6.4,1
177,3,0,0,2,0,2,3,0,6.4,1
178,0,2,4,1,10,3,0,0,6.6,0
179,0,0,3,2,14,6,1,0,8.7,0
180,0,4,3,0,31,2,3,1,4.0,0
181,0,4,4,4,40,4,0,0,1.1,0
182,1,4,0,4,28,2,0,0,6.1,0
183,1,0,0,1,11,4,3,0,6.7,0
184,2,4,3,2,36,1,1,1,7.1,0
185,2,4,4,0,14,2,0,0,5.4,0
186,0,2,3,3,25,7,3,0,5.6,0
187,3,4,0,2,49,4,1,0,8.4,1
188,3,3,4,5,36,1,1,1,5.6,1
189,1,4,1,4,5,1,1,0,2.4,0
190,3,4,0,1,20,2,0,0,10.0,1
191,1,4,3,2,16,5,0,0,8.3,0
192,0,1,1,1,23,7,0,1,8.2,0
193,2,1,5,0,36,4,1,1,7.2,0
194,0,2,1,3,28,7,0,0,10.0,1
195,1,3,4,1,23,5,0,0,5.5,0
196,3,3,3,0,31,6,0,1,4.6,1
197,0,4,4,5,13,3,3,1,7.6,0
198,3,4,1,3,34,7,4,1,5.4,1
199,2,2,4,5,6,2,3,1,5.5,0
200,3,4,0,4,30,4,4,0,4.5,1
201,2,3,5,3,38,7,3,0,7.4,0
202,0,4,2,2,9,2,1,0,3.8,0
203,2,0,3,3,40,0,3,1,7.9,0
204,0,4,3,0,23,1,2,1,4.0,0
205,1,2,5,5,21,2,2,0,6.7,1
206,2,0,5,1,26,7,0,0,7.0,0
207,3,0,5,0,26,6,0,0,10.0,1
208,0,4,0,3,42,2,2,0,5.4,0
209,1,4,4,3,18,6,0,1,6.6,0
210,1,4,1,1,0,2,3,0,9.9,0
211,3,4,2,1,14,4,0,1,4.3,1
212,0,4,4,3,31,2,4,0,6.7,0
213,1,1,5,4,1,3,3,0,5.8,0
214,3,4,2,4,16,2,3,1,3.2,1
215,2,4,5,4,16,1,3,1,0.6,0
216,1,4,0,3,16,1,0,0,8.0,0
217,0,1,2,0,35,0,0,1,5.9,0
218,2,3,5,3,56,2,1,0,6.6,0
219,3,1,4,5,19,1,0,0,6.9,1
220,3,4,4,0,11,2,0,0,5.3,1
221,0,2,4,3,12,2,0,0,4.9,0
222,0,4,5,2,16,1,1,0,6.4,0
223,0,4,3,2,35,2,4,0,9.2,1
224,3,0,2,1,15,2,1,1,6.4,1
225,0,3,5,2,9,2,3,0,4.1,0
226,0,4,3,2,33,7,1,1,9.3,1
227,3,0,4,0,4,4,0,0,5.3,1
228,0,0,0,2,2,2,1,0,8.1,0
229,0,4,5,2,14,5,1,0,8.1,0
230,0,1,4,1,14,4,4,0,9.1,0
231,3,3,3,3,28,4,1,0,7.8,1
232,0,0,0,4,24,6,0,0,3.7,0
233,3,4,2,1,17,4,0,0,5.4,1
234,1,4,2,5,10,1,3,0,3.4,0
235,3,4,1,1,28,1,0,0,3.7,1
236,3,4,4,0,0,4,0,1,10.0,1
237,0,4,1,1,18,2,0,0,5.3,0
238,3,4,3,3,19,3,3,0,8.9,1
239,3,4,2,0,22,4,0,0,5.7,1
240,2,1,3,4,24,5,0,1,2.7,1
241,3,0,5,5,30,6,0,1,6.9,1
242,3,3,4,5,20,1,1,0,7.3,1
243,1,4,1,4,9,7,0,0,6.9,0
244,1,0,1,0,25,6,1,0,2.8,0
245,3,4,3,0,26,5,3,0,7.1,1
246,1,4,3,4,43,2,1,1,8.7,0
247,0,1,0,2,2,0,1,0,5.1,0
248,3,4,3,2,27,2,3,0,4.9,1
249,0,4,1,0,9,7,0,0,5.2,1
250,3,4,5,5,7,2,3,0,6.4,1
251,2,2,1,5,34,3,1,0,4.4,0
252,0,3,2,0,26,7,1,0,6.9,0
253,2,1,5,1,29,2,1,1,6.4,0
254,1,4,4,3,55,4,3,0,6.3,0
255,0,1,4,5,10,7,2,0,6.4,0
256,2,4,4,1,11,0,0,0,10.0,0
257,2,1,0,2,12,7,4,0,7.9,0
258,3,4,4,1,28,3,3,0,3.0,1
259,3,4,0,0,16,2,3,0,6.4,1
260,2,4,5,4,22,1,1,0,3.6,1
261,1,4,1,2,28,2,0,0,7.7,1
262,2,4,1,0,31,6,2,0,7.5,0
263,3,1,2,3,0,3,2,0,7.4,1
264,0,3,3,2,23,6,2,0,6.4,0
265,1,4,0,5,34,4,2,0,6.4,0
266,2,2,1,0,20,4,3,0,6.6,0
267,2,2,0,1,12,1,1,0,6.7,0
268,2,4,2,0,13,4,0,1,5.8,0
269,0,4,1,2,13,1,1,1,9.3,0
270,1,4,0,3,17,4,2,1,5.5,0
271,2,1,0,3,22,4,0,0,6.4,0
272,2,4,1,3,23,2,3,1,8.5,0
273,2,4,5,1,34,5,1,1,5.4,0
274,1,0,0,2,52,2,0,0,5.7,0
275,0,3,3,2,40,2,0,1,10.0,1
276,3,4,2,3,14,2,0,1,5.9,1
277,2,0,4,3,7,5,3,1,4.3,0
278,1,4,5,1,19,2,0,0,6.4,0
279,1,1,4,4,6,7,1,0,6.4,0
280,3,4,1,0,19,5,3,0,8.0,1
281,0,4,2,5,25,2,0,0,6.9,0
282,0,2,0,2,24,4,1,0,10.0,0
283,1,4,3,4,12,7,0,1,5.1,0
284,1,4,0,5,11,6,0,0,9.1,0
285,2,0,4,4,12,2,0,0,4.7,0
286,2,4,1,4,12,6,1,1,7.9,0
287,2,4,5,3,0,2,0,0,9.9,0
288,3,4,0,5,11,2,0,0,5.6,1
289,2,4,3,1,24,2,4,0,6.4,0
290,3,4,4,4,17,2,1,0,4.7,1
291,0,2,3,3,9,7,0,1,6.4,0
292,2,4,0,0,12,4,2,1,7.0,0
293,1,4,4,1,36,2,0,0,10.0,0
294,0,1,3,3,13,4,1,1,8.8,0
295,2,4,4,0,45,1,1,1,6.4,0
296,0,4,1,3,28,1,0,0,8.9,0
297,3,4,2,2,27,2,0,1,6.4,1
298,2,4,3,1,39,4,1,0,7.9,0
299,0,4,5,1,22,6,2,1,9.2,1
300,3,1,0,1,25,4,3,0,5.6,1
301,2,1,2,1,37,0,2,1,6.9,0
302,0,4,5,2,0,3,0,1,8.1,0
303,2,1,2,2,50,7,0,0,5.8,0
304,3,1,3,3,23,2,1,0,10.0,1
305,1,4,3,4,23,4,0,1,7.8,0
306,0,4,5,4,13,2,0,0,6.9,1
307,1,3,1,3,5,1,3,0,6.8,0
308,3,2,4,4,36,3,0,0,3.1,1
309,2,3,5,4,25,1,0,1,6.4,1
310,3,4,3,3,12,0,2,0,6.4,1
311,0,4,1,4,0,2,2,0,7.5,0
312,3,3,0,0,5,1,1,0,8.1,1
313,0,3,4,3,12,7,1,0,3.7,0
314,2,2,3,0,29,2,2,1,6.3,0
315,1,4,0,1,5,1,0,1,3.1,0
316,0,0,5,1,19,2,0,0,6.4,0
317,3,2,2,0,24,1,3,0,3.7,1
318,1,1,0,3,18,2,0,0,9.0,1
319,2,4,5,3,26,2,1,1,6.4,0
320,1,4,5,3,28,0,0,1,9.4,0
321,0,4,4,5,29,2,0,0,6.4,0
322,2,4,0,2,10,3,1,1,10.0,0
323,3,4,5,0,0,4,3,1,6.8,1
324,1,4,5,1,31,1,0,1,5.1,0
325,0,4,0,5,0,7,2,0,5.5,0
326,3,4,5,4,0,7,2,1,6.4,1
327,0,4,3,2,25,0,4,1,4.4,0
328,1,4,5,1,19,2,4,1,4.0,0
329,3,2,1,1,32,4,0,0,6.0,1
330,1,2,3,4,22,7,3,1,2.0,0
331,1,4,1,4,10,4,1,0,4.3,0
332,3,1,1,3,45,0,0,0,7.9,1
333,1,1,1,2,28,4,3,0,9.6,1
334,3,1,1,3,20,2,0,0,5.1,1
335,0,4,5,3,25,7,2,0,8.5,0
336,2,4,3,0,34,2,0,1,6.4,0
337,2,4,4,2,22,7,0,0,10.0,0
338,2,4,5,3,44,7,4,0,6.9,0
339,0,1,4,1,13,3,0,0,5.8,0
340,2,4,0,0,27,2,3,0,5.2,0
341,2,1,4,2,49,4,4,0,10.0,0
342,3,1,3,0,20,2,3,0,6.8,1
343,0,1,4,5,5,7,1,1,5.9,0
344,3,2,0,5,25,2,0,0,7.9,1
345,0,2,0,0,42,4,4,0,3.8,0
346,1,0,4,2,23,7,1,0,8.8,0
347,1,0,2,5,13,6,0,0,8.9,0
348,0,4,2,2,17,7,2,0,8.4,0
349,2,4,0,4,0,2,3,0,9.7,0
350,3,4,2,3,11,0,4,0,7.4,1
351,0,2,5,5,23,7,1,1,5.3,1
352,0,1,2,0,19,2,1,1,9.1,0
353,3,4,3,3,14,2,1,0,6.4,1
354,2,2,2,2,36,4,2,1,2.7,0
355,3,4,0,4,4,0,3,0,3.7,1
356,1,4,2,3,13,4,4,1,7.3,0
357,0,4,4,2,26,2,1,0,6.4,0
358,1,1,0,1,33,6,0,0,5.4,0
359,2,1,0,1,14,5,0,0,6.4,0
360,1,4,0,4,15,6,0,0,5.7,0
361,1,3,4,2,49,3,0,1,7.3,0
362,3,4,0,1,34,1,2,1,6.4,1
363,0,3,0,3,17,4,3,1,6.4,1
364,3,0,4,0,30,5,1,0,6.6,1
365,0,4,4,0,18,4,4,0,6.4,1
366,3,4,5,2,32,7,2,0,7.3,1
367,2,3,2,1,0,7,0,0,10.0,0
368,3,4,0,2,35,6,4,0,4.2,1
369,3,4,0,5,5,2,0,0,5.1,1
370,3,2,1,0,17,2,1,0,7.0,1
371,0,3,1,1,26,3,1,0,6.8,0
372,0,4,4,5,53,2,0,0,6.4,0
373,1,4,5,0,34,1,0,0,6.4,1
374,0,0,3,4,28,5,1,0,4.0,0
375,2,4,5,5,3,7,3,0,6.4,0
376,0,4,4,2,19,4,4,0,7.2,0
377,3,0,0,2,25,4,0,0,10.0,1
378,3,4,2,2,16,7,0,1,8.6,1
379,3,1,3,3,2,2,4,0,7.8,1
380,1,4,3,3,15,7,1,0,9.5,0
381,1,4,5,0,21,2,4,1,6.1,0
382,2,1,0,4,4,1,0,0,3.3,0
383,0,4,4,2,8,7,0,0,6.4,0
384,3,4,3,2,11,4,1,0,6.4,1
385,2,4,1,2,34,4,0,0,5.0,0
386,1,1,4,3,33,2,1,0,5.8,0
387,0,4,0,4,52,5,0,0,3.4,0
388,1,4,0,5,34,2,4,1,10.0,0
389,1,0,0,2,27,7,1,0,7.8,0
390,1,4,2,2,30,7,0,0,7.1,1
391,3,4,4,1,19,0,0,1,6.4,1
392,1,1,0,5,0,3,3,1,6.3,0
393,3,2,2,0,4,4,3,1,6.9,1
394,3,4,3,4,32,2,3,1,3.0,1
395,0,3,2,1,33,1,1,0,4.3,0
396,0,4,3,5,27,5,3,0,4.4,1
397,2,4,3,4,1,2,0,1,5.2,0
398,1,4,0,2,0,2,1,0,7.5,0
399,2,4,4,4,27,2,0,0,7.0,0
400,3,4,1,4,21,2,0,0,5.6,1
401,3,4,4,2,27,2,0,1,6.6,1
402,0,4,3,3,10,4,0,0,6.4,0
403,0,3,0,2,44,2,0,0,6.4,0
404,0,4,1,5,9,3,0,1,8.5,0
405,0,4,1,3,37,2,1,0,5.0,0
406,3,4,1,3,8,1,1,0,10.0,1
407,2,4,1,3,24,2,0,1,7.9,0
408,1,3,2,1,17,2,0,0,6.2,0
409,0,4,5,0,17,4,0,0,6.4,1
410,3,0,3,3,12,2,0,0,3.5,1
411,2,1,5,4,56,2,0,0,4.7,0
412,2,4,3,2,43,6,2,0,6.4,0
413,2,3,3,2,42,5,0,1,5.7,0
414,1,2,5,5,11,1,0,1,4.3,0
415,3,2,5,0,2,2,2,1,6.6,1
416,3,0,0,5,23,7,3,0,3.1,1
417,1,4,4,0,31,2,4,0,2.1,0
418,1,4,2,0,37,2,0,0,3.8,0
419,0,0,0,3,25,0,0,0,4.9,0
420,2,0,1,3,27,3,0,1,6.7,0
421,1,4,5,4,7,2,4,0,6.9,0
422,0,4,5,3,18,7,0,0,4.5,0
423,3,2,4,0,37,2,3,1,6.4,1
424,2,0,3,2,4,0,0,0,6.4,0
425,1,4,1,1,21,6,3,0,10.0,0
426,3,4,1,2,22,2,3,0,5.8,1
427,3,0,0,4,17,6,0,1,6.4,1
428,0,4,4,3,8,2,0,0,3.6,1
429,0,4,4,1,27,4,0,1,4.1,0
430,1,4,2,0,25,7,3,1,10.0,0
431,0,2,5,2,31,6,0,0,6.4,0
432,3,2,3,4,32,2,1,1,5.9,1
433,1,4,3,0,24,4,0,1,5.0,1
434,1,1,3,5,17,2,1,0,4.8,0
435,2,1,3,5,7,5,0,0,6.4,0
436,2,4,2,1,35,4,4,0,6.4,0
437,0,3,3,5,31,3,1,1,9.6,0
438,3,4,1,5,20,5,0,1,3.6,1
439,1,0,4,4,15,4,2,0,5.2,0
440,3,2,0,0,20,2,2,0,7.7,1
441,1,1,2,5,26,3,0,0,6.6,1
442,3,2,4,1,6,7,3,0,6.2,1
443,3,3,0,3,28,3,3,1,9.9,1
444,2,0,3,5,17,5,0,1,9.8,1
445,0,4,1,0,15,1,0,0,5.2,0
446,0,4,5,3,14,6,1,1,6.4,0
447,3,0,2,0,20,1,4,1,7.5,1
448,3,4,4,4,33,7,2,0,3.2,1
449,3,4,5,3,33,7,0,0,3.5,1
450,0,3,0,3,3,4,2,0,2.5,0
451,0,4,1,3,30,6,0,0,5.2,0
452,3,0,1,0,12,3,0,1,7.4,1
453,2,2,4,5,22,4,0,1,6.5,0
454,0,1,0,2,21,4,3,0,4.4,0
455,1,4,4,0,17,0,1,0,6.4,0
456,0,0,1,1,13,2,0,1,4.6,0
457,3,4,4,2,43,2,3,0,6.4,1
458,0,1,0,2,40,2,1,1,6.0,1
459,2,4,1,1,34,0,0,1,5.2,0
460,0,4,2,3,29,3,3,1,5.4,0
461,1,4,4,4,11,7,0,0,8.1,0
462,3,1,3,5,38,7,2,0,9.9,1
463,3,4,1,4,9,6,2,1,7.5,1
464,3,2,4,1,48,4,1,0,6.8,1
465,3,1,5,3,22,1,0,0,6.4,1
466,0,4,3,2,36,4,1,0,5.1,0
467,2,4,1,2,27,2,3,1,6.4,0
468,2,4,2,1,33,6,0,0,4.8,0
469,3,4,4,0,41,1,4,0,6.4,1
470,0,4,4,0,38,7,0,1,7.7,0
471,2,3,0,3,50,2,0,1,5.1,0
472,2,1,2,0,20,4,0,0,7.1,0
473,3,4,0,5,27,2,0,0,7.7,1
474,3,4,4,4,14,2,0,1,4.7,1
475,3,1,4,1,0,1,0,1,10.0,1
476,1,1,1,5,16,5,1,1,5.9,0
477,0,4,5,5,31,4,1,0,8.4,0
478,0,4,2,4,17,1,0,1,7.1,0
479,3,0,3,5,42,5,3,0,7.6,1
480,3,1,4,2,29,1,0,1,9.1,1
481,2,4,5,2,1,5,0,0,7.4,1
482,2,4,1,1,12,1,3,0,7.8,0
483,0,4,2,2,20,2,3,0,7.2,0
484,1,0,0,1,23,4,2,0,10.0,0
485,2,2,3,0,0,2,0,0,8.2,0
486,0,2,3,5,38,2,1,0,8.0,0
487,3,4,3,0,2,1,4,0,6.0,1
488,0,4,0,5,11,2,1,0,7.8,0
489,3,3,1,2,25,4,0,0,6.4,1
490,1,4,4,1,36,4,1,0,5.2,0
491,2,4,2,5,20,2,0,1,4.8,0
492,1,2,0,5,18,7,1,0,7.4,0
493,2,1,1,2,13,1,2,1,8.1,1
494,1,0,2,2,44,2,1,0,5.6,0
495,3,1,4,4,33,0,1,1,3.4,1
496,0,1,1,3,0,4,0,1,9.3,0
497,0,4,5,4,55,6,0,0,5.3,0
498,0,1,0,4,41,2,0,1,6.4,0
499,0,4,4,3,36,2,0,0,8.8,0
500,1,1,5,1,30,2,4,1,6.4,0
501,0,4,3,3,19,4,2,1,6.1,0
502,3,2,2,3,29,4,3,0,8.6,1
503,2,1,0,4,40,3,0,1,4.0,0
504,3,3,1,0,9,7,1,0,2.4,1
505,0,4,5,4,18,5,4,0,6.4,0
506,2,3,3,2,5,2,0,0,10.0,0
507,2,1,4,2,28,5,0,1,6.0,1
508,1,4,3,5,14,0,0,0,8.9,0
509,1,1,0,2,41,2,0,0,5.4,0
510,0,4,2,4,21,3,3,0,2.6,0
511,1,4,3,3,17,6,0,1,6.4,0
512,3,3,5,5,27,4,0,1,6.4,1
513,2,3,3,5,0,2,1,0,6.4,0
514,0,4,3,0,43,7,1,1,5.5,0
515,2,4,1,5,26,2,4,0,4.3,0
516,1,4,3,0,30,1,1,0,9.2,0
517,3,4,3,2,17,2,3,0,4.6,1
518,2,3,3,4,16,2,0,0,7.3,0
519,3,0,4,0,8,4,0,0,9.8,1
520,2,0,5,1,19,6,1,1,6.4,0
521,3,4,2,0,32,3,3,0,8.1,1
522,0,2,2,2,20,2,1,1,7.6,0
523,3,2,3,4,12,1,4,0,8.2,1
524,3,0,2,3,24,7,2,0,3.5,1
525,0,4,0,3,19,6,0,0,2.9,1
526,1,4,1,4,9,2,2,1,6.4,0
527,0,4,3,5,36,2,1,1,6.4,0
528,1,1,3,5,26,2,0,1,8.0,0
529,0,1,3,4,14,7,1,0,6.4,0
530,3,4,5,1,4,2,1,1,0.1,1
531,3,4,3,3,32,2,1,1,1.3,1
532,2,2,3,2,28,1,0,1,10.0,0
533,0,4,0,2,9,7,3,0,6.4,0
534,2,1,1,2,10,7,2,0,4.7,0
535,3,2,4,5,6,1,3,0,6.8,1
536,3,1,1,3,24,0,0,0,5.9,1
537,0,4,0,0,0,0,2,0,8.4,0
538,0,4,3,1,17,0,0,0,10.0,0
539,3,4,5,2,9,3,3,0,5.6,1
540,1,2,0,5,21,4,1,0,3.3,0
541,1,4,4,3,10,2,0,0,6.4,0
542,3,4,2,5,13,4,4,0,9.3,1
543,1,3,0,3,31,2,0,0,6.4,0
544,1,1,3,1,10,2,0,1,6.4,0
545,0,1,2,5,14,4,0,1,6.4,0
546,2,4,1,4,48,5,3,1,6.4,0
547,0,4,2,3,39,0,0,0,6.3,1
548,2,4,1,0,5,2,0,0,7.4,0
549,1,4,5,4,33,1,0,1,9.1,0
550,3,3,2,4,28,7,0,0,7.2,1
551,3,4,1,0,15,7,0,0,7.2,1
552,0,4,1,0,22,5,2,1,9.4,0
