spend_id,campaign_id,channel,spend_date,amount
1,124,Radio,12/27/23,"$21,120.10"
2,341,TV,1/16/24,"$4,737.89"
3,185,Streaming,5/5/24,"$47,693.48"
4,279,Streaming,5/14/23,"$39,427.41"
5,260,Radio,8/18/23,"$1,506.55"
6,241,Radio,8/31/23,"$31,965.70"
7,192,Digital,8/13/23,"$37,492.17"
8,183,Streaming,4/17/23,"$17,567.72"
9,376,Streaming,8/16/23,"$31,598.72"
10,396,TV,11/10/23,"$36,891.76"
11,171,Radio,4/10/23,"$2,694.62"
12,280,Streaming,10/19/23,"$40,768.69"
13,90,Digital,11/19/24,"$39,067.56"
14,238,TV,10/21/23,"$24,187.29"
15,94,Streaming,4/29/23,"$3,623.48"
16,398,Radio,6/24/24,"$2,330.70"
17,104,OOH,3/22/24,"$39,659.91"
18,22,Radio,11/29/23,"$46,701.86"
19,264,Digital,12/26/23,"$49,461.57"
20,279,Streaming,5/12/23,"$13,039.03"
21,386,Streaming,10/29/23,"$9,959.62"
22,183,Streaming,4/16/23,"$43,357.01"
23,170,TV,5/19/24,"$6,661.51"
24,189,Streaming,10/8/24,"$44,529.58"
25,381,Social,9/4/24,"$44,784.56"
26,198,Digital,7/21/24,"$48,699.32"
27,255,Social,2/3/24,"$18,683.67"
28,266,Streaming,6/5/24,"$40,156.83"
29,373,Radio,6/30/24,"$4,406.89"
30,309,Radio,3/31/23,"$27,500.98"
31,165,Digital,5/24/24,"$4,463.41"
32,339,TV,3/12/24,"$15,671.54"
33,309,Radio,4/9/23,"$21,592.75"
34,354,Radio,3/14/23,"$17,901.58"
35,22,Radio,11/30/23,"$30,935.15"
36,223,Digital,10/24/23,"$32,153.73"
37,30,OOH,1/16/23,"$33,723.60"
38,208,Streaming,9/14/24,"$25,897.76"
39,384,Social,4/7/23,"$8,419.34"
40,16,Radio,1/3/24,"$42,509.13"
41,348,Radio,7/26/23,"$22,189.55"
42,65,Digital,6/12/23,"$12,181.77"
43,331,TV,2/27/23,"$18,426.45"
44,291,Digital,1/28/23,"$30,452.19"
45,348,Radio,7/4/23,"$47,466.76"
46,191,Digital,10/4/24,"$38,272.68"
47,294,Social,3/15/23,"$26,708.26"
48,204,TV,12/17/23,"$32,653.26"
49,128,Radio,9/5/23,"$1,782.71"
50,96,Digital,9/6/23,"$26,128.39"
51,288,OOH,12/10/23,"$13,457.95"
52,134,OOH,3/19/24,"$22,590.52"
53,314,OOH,11/25/23,"$34,852.04"
54,252,Streaming,4/3/24,"$6,570.55"
55,38,Radio,10/2/23,"$9,046.49"
56,366,Radio,6/8/23,"$49,864.49"
