spend_id,campaign_id,campaign_name,channel,month,month_num,year,spend_date,monthly_spend,signups_driven,cost_per_signup,roas
SPD0001,CMP001,P+_TV_BrandAwareness_Q1,TV,Jan,1,2026,01/01/26,26946.14,18,1497.01,0.09
SPD0002,CMP001,P+_TV_BrandAwareness_Q1,TV,Feb,2,2026,02/01/26,29948.75,18,1663.82,0.08
SPD0003,CMP002,P+_TV_NFL_Promo,TV,Jan,1,2026,01/01/26,31388.2,16,1961.76,0.07
SPD0004,CMP002,P+_TV_NFL_Promo,TV,Feb,2,2026,02/01/26,30359.88,20,1517.99,0.09
SPD0005,CMP003,P+_TV_Landman_Launch,TV,Feb,2,2026,02/01/26,22667.36,14,1619.1,0.09
SPD0006,CMP003,P+_TV_Landman_Launch,TV,Mar,3,2026,03/01/26,18835.86,12,1569.65,0.09
SPD0007,CMP004,P+_Radio_DriveTime_Q1,Radio,Jan,1,2026,01/01/26,15396.26,10,1539.63,0.09
SPD0008,CMP004,P+_Radio_DriveTime_Q1,Radio,Feb,2,2026,02/01/26,12663.66,8,1582.96,0.09
SPD0009,CMP004,P+_Radio_DriveTime_Q1,Radio,Mar,3,2026,03/01/26,13177.82,9,1464.2,0.09
SPD0010,CMP005,P+_Radio_Weekend_Q2,Radio,Mar,3,2026,03/01/26,10775.42,7,1539.35,0.09
SPD0011,CMP005,P+_Radio_Weekend_Q2,Radio,Apr,4,2026,04/01/26,11369.11,7,1624.16,0.09
SPD0012,CMP006,P+_Stream_PreRoll_Drama,Streaming,Jan,1,2026,01/01/26,16877.58,13,1298.28,0.11
SPD0013,CMP006,P+_Stream_PreRoll_Drama,Streaming,Feb,2,2026,02/01/26,17762.78,16,1110.17,0.12
SPD0014,CMP006,P+_Stream_PreRoll_Drama,Streaming,Mar,3,2026,03/01/26,16378.24,13,1259.86,0.11
SPD0015,CMP006,P+_Stream_PreRoll_Drama,Streaming,Apr,4,2026,04/01/26,18499.04,13,1423.0,0.1
SPD0016,CMP007,P+_Stream_UFC_Promo,Streaming,Feb,2,2026,02/01/26,21677.53,16,1354.85,0.1
SPD0017,CMP007,P+_Stream_UFC_Promo,Streaming,Mar,3,2026,03/01/26,18259.83,17,1074.11,0.13
SPD0018,CMP008,P+_Stream_YellowJackets,Streaming,Jan,1,2026,01/01/26,18235.03,16,1139.69,0.12
SPD0019,CMP008,P+_Stream_YellowJackets,Streaming,Feb,2,2026,02/01/26,15062.15,11,1369.29,0.1
SPD0020,CMP009,P+_SEM_BrandSearch,Digital,Jan,1,2026,01/01/26,20050.13,20,1002.51,0.14
SPD0021,CMP009,P+_SEM_BrandSearch,Digital,Feb,2,2026,02/01/26,16845.62,17,990.92,0.14
SPD0022,CMP009,P+_SEM_BrandSearch,Digital,Mar,3,2026,03/01/26,16346.01,19,860.32,0.16
SPD0023,CMP009,P+_SEM_BrandSearch,Digital,Apr,4,2026,04/01/26,17625.05,19,927.63,0.15
SPD0024,CMP010,P+_Display_Retarget,Digital,Jan,1,2026,01/01/26,12265.67,12,1022.14,0.14
SPD0025,CMP010,P+_Display_Retarget,Digital,Feb,2,2026,02/01/26,13182.17,12,1098.51,0.13
SPD0026,CMP010,P+_Display_Retarget,Digital,Mar,3,2026,03/01/26,14831.38,16,926.96,0.15
SPD0027,CMP011,P+_Digital_TulsaKing,Digital,Feb,2,2026,02/01/26,16977.75,19,893.57,0.16
SPD0028,CMP011,P+_Digital_TulsaKing,Digital,Mar,3,2026,03/01/26,15440.55,18,857.81,0.16
SPD0029,CMP011,P+_Digital_TulsaKing,Digital,Apr,4,2026,04/01/26,13148.22,12,1095.68,0.13
SPD0030,CMP012,P+_OOH_NYC_Billboard,OOH,Jan,1,2026,01/01/26,10362.82,9,1151.42,0.12
SPD0031,CMP012,P+_OOH_NYC_Billboard,OOH,Feb,2,2026,02/01/26,11599.24,10,1159.92,0.12
SPD0032,CMP012,P+_OOH_NYC_Billboard,OOH,Mar,3,2026,03/01/26,13183.46,11,1198.5,0.12
SPD0033,CMP012,P+_OOH_NYC_Billboard,OOH,Apr,4,2026,04/01/26,11211.36,10,1121.14,0.12
SPD0034,CMP013,P+_OOH_LA_Transit,OOH,Feb,2,2026,02/01/26,8476.63,8,1059.58,0.13
SPD0035,CMP013,P+_OOH_LA_Transit,OOH,Mar,3,2026,03/01/26,8287.47,9,920.83,0.15
SPD0036,CMP013,P+_OOH_LA_Transit,OOH,Apr,4,2026,04/01/26,10275.9,8,1284.49,0.11
SPD0037,CMP014,P+_Meta_Landman_Video,Social,Jan,1,2026,01/01/26,7239.08,9,804.34,0.17
SPD0038,CMP014,P+_Meta_Landman_Video,Social,Feb,2,2026,02/01/26,9027.49,11,820.68,0.17
SPD0039,CMP014,P+_Meta_Landman_Video,Social,Mar,3,2026,03/01/26,9191.74,9,1021.3,0.14
SPD0040,CMP015,P+_TikTok_Ghosts,Social,Feb,2,2026,02/01/26,7181.55,7,1025.94,0.14
SPD0041,CMP015,P+_TikTok_Ghosts,Social,Mar,3,2026,03/01/26,8316.98,10,831.7,0.17
SPD0042,CMP015,P+_TikTok_Ghosts,Social,Apr,4,2026,04/01/26,7119.52,7,1017.07,0.14
SPD0043,CMP016,P+_Instagram_Tracker,Social,Mar,3,2026,03/01/26,6131.42,6,1021.9,0.14
SPD0044,CMP016,P+_Instagram_Tracker,Social,Apr,4,2026,04/01/26,6947.73,8,868.47,0.16
