subscriber_id,signup_date,plan,country,acquisition_channel,campaign_id,campaign_start_date,campaign_end_date,primary_device,age,signup_show,show_genre,lifecycle_stage,churn_date,monthly_spend_usd,is_bundled,has_showtime_add_on,total_spend,total_signups,avg_roas,plan_price
SUB00001,02/19/26,Annual Essential,US,Streaming,CMP006,01/12/26,04/15/26,Roku,44,RuPaul Drag Race All Stars,Reality,Active,,8.3,False,False,69517.64,55,0.11,7.5
SUB00002,02/08/26,Essential,US,Social,CMP015,02/05/26,04/05/26,Smart TV,59,Paw Patrol,Family,Active,,14.21,False,False,22618.05,24,0.15,13.99
SUB00003,02/04/26,Paramount+ with Showtime,AU,Radio,CMP005,03/01/26,04/30/26,Mobile,60,Elsbeth,Procedural,Active,,13.87,True,True,22144.53,14,0.09,13.99
SUB00004,02/03/26,Essential,AU,Social,CMP015,02/05/26,04/05/26,Tablet,45,The Curse,Comedy,Churned,03/20/26,12.76,False,False,22618.05,24,0.15,13.99
SUB00005,02/03/26,Annual Essential,AU,Streaming,CMP007,02/10/26,03/20/26,Smart TV,41,1923,Drama,Active,,5.55,True,False,39937.36,33,0.115,7.5
SUB00006,02/23/26,Annual Premium,US,TV,CMP002,01/10/26,02/15/26,Mobile,30,Sonic 3,Family,Churned,04/17/26,10.63,False,False,61748.08,36,0.08,11.67
SUB00007,02/18/26,Annual Essential,US,Digital,CMP011,02/15/26,04/01/26,Roku,25,South Park,Comedy,Active,,8.06,True,False,45566.52,49,0.15,7.5
SUB00008,02/07/26,Paramount+ with Showtime,MX,OOH,CMP012,01/08/26,04/30/26,Roku,34,Ghosts,Comedy,Churned,03/25/26,10.1,False,True,46356.88,40,0.12,13.99
SUB00009,02/18/26,Paramount+ with Showtime,CA,TV,CMP003,02/01/26,03/31/26,Mobile,30,Watson,Procedural,New,,12.2,True,True,41503.22,26,0.09,13.99
SUB00010,02/28/26,Annual Essential,US,Social,CMP014,01/10/26,03/10/26,Desktop,43,NFL,Sports,Active,,7.37,False,True,25458.31,29,0.16,7.5
SUB00011,02/18/26,Annual Essential,MX,TV,CMP002,01/10/26,02/15/26,Smart TV,29,South Park,Comedy,Active,,6.25,False,False,61748.08,36,0.08,7.5
SUB00012,02/01/26,Essential,MX,Digital,CMP010,01/15/26,03/31/26,Smart TV,23,Tracker,Action,At-Risk,,10.94,True,False,40279.22,40,0.14,13.99
SUB00013,02/17/26,Annual Premium,US,Social,CMP016,03/01/26,04/30/26,Roku,40,RuPaul Drag Race All Stars,Reality,New,,10.35,False,False,13079.15,14,0.15,11.67
SUB00014,02/27/26,Essential,MX,Social,CMP015,02/05/26,04/05/26,Smart TV,40,Ghosts,Comedy,Churned,03/28/26,11.74,False,True,22618.05,24,0.15,13.99
SUB00015,02/05/26,Essential,CA,OOH,CMP012,01/08/26,04/30/26,Fire TV,36,1923,Drama,At-Risk,,12.43,False,False,46356.88,40,0.12,13.99
SUB00016,02/07/26,Annual Premium,US,Social,CMP016,03/01/26,04/30/26,Smart TV,27,Mayor of Kingstown,Drama,Active,,12.54,False,False,13079.15,14,0.15,11.67
SUB00017,02/03/26,Paramount+ with Showtime,CA,Streaming,CMP006,01/12/26,04/15/26,Desktop,42,Coldwater,Drama,Churned,03/06/26,12.22,True,True,69517.64,55,0.11,13.99
SUB00018,02/03/26,Annual Essential,CA,OOH,CMP013,02/01/26,04/15/26,Fire TV,32,Tulsa King,Drama,At-Risk,,7.21,True,False,27040.0,25,0.13,7.5
SUB00019,02/26/26,Paramount+ with Showtime,US,Social,CMP015,02/05/26,04/05/26,Roku,52,The Guest,Thriller,At-Risk,,13.23,True,True,22618.05,24,0.15,13.99
SUB00020,02/02/26,Essential,CA,Streaming,CMP006,01/12/26,04/15/26,Desktop,33,Tulsa King,Drama,Active,,14.69,False,False,69517.64,55,0.11,13.99
SUB00021,02/09/26,Paramount+ with Showtime,AU,Radio,CMP004,01/06/26,03/15/26,Roku,31,Coldwater,Drama,Active,,12.71,True,True,41237.74,27,0.09,13.99
SUB00022,02/06/26,Annual Premium,US,Social,CMP014,01/10/26,03/10/26,Fire TV,21,Dutton Ranch,Drama,Active,,12.91,False,False,25458.31,29,0.16,11.67
SUB00023,02/10/26,Paramount+ with Showtime,AU,OOH,CMP013,02/01/26,04/15/26,Roku,36,South Park,Comedy,Active,,14.29,True,True,27040.0,25,0.13,13.99
SUB00024,02/19/26,Annual Premium,UK,Social,CMP014,01/10/26,03/10/26,Mobile,28,Mission Impossible,Action,At-Risk,,13.01,True,False,25458.31,29,0.16,11.67
SUB00025,02/03/26,Essential,US,OOH,CMP012,01/08/26,04/30/26,Smart TV,37,Sonic 3,Family,New,,11.51,True,False,46356.88,40,0.12,13.99
SUB00026,02/09/26,Annual Essential,US,OOH,CMP013,02/01/26,04/15/26,Smart TV,49,Landman,Drama,Active,,7.56,False,False,27040.0,25,0.13,7.5
SUB00027,02/01/26,Annual Essential,US,TV,CMP001,01/05/26,02/28/26,Roku,39,Boston Blue,Procedural,At-Risk,,7.16,False,False,56894.89,36,0.0849999999999999,7.5
SUB00028,02/08/26,Annual Premium,UK,OOH,CMP012,01/08/26,04/30/26,Smart TV,42,Watson,Procedural,Active,,11.54,True,False,46356.88,40,0.12,11.67
SUB00029,02/04/26,Essential,AU,Digital,CMP011,02/15/26,04/01/26,Tablet,26,Dutton Ranch,Drama,At-Risk,,14.91,False,False,45566.52,49,0.15,13.99
SUB00030,02/07/26,Essential,US,OOH,CMP013,02/01/26,04/15/26,Mobile,42,Elsbeth,Procedural,New,,14.08,True,False,27040.0,25,0.13,13.99
SUB00031,02/25/26,Annual Premium,US,Streaming,CMP007,02/10/26,03/20/26,Fire TV,39,Yellowjackets,Drama,Active,,11.35,False,True,39937.36,33,0.115,11.67
SUB00032,02/05/26,Annual Premium,US,TV,CMP003,02/01/26,03/31/26,Smart TV,33,Dutton Ranch,Drama,At-Risk,,9.86,True,False,41503.22,26,0.09,11.67
SUB00033,02/12/26,Annual Premium,CA,Radio,CMP004,01/06/26,03/15/26,Desktop,42,Boston Blue,Procedural,Active,,11.63,False,False,41237.74,27,0.09,11.67
SUB00034,02/26/26,Essential,US,Social,CMP014,01/10/26,03/10/26,Desktop,34,Mission Impossible,Action,Reactivated,,13.48,False,False,25458.31,29,0.16,13.99
SUB00035,02/09/26,Annual Premium,US,Digital,CMP009,01/01/26,04/30/26,Tablet,33,Dexter,Thriller,At-Risk,,11.47,False,False,70866.81,75,0.1475,11.67
SUB00036,02/08/26,Annual Essential,US,OOH,CMP012,01/08/26,04/30/26,Desktop,43,The Curse,Comedy,Active,,7.63,True,False,46356.88,40,0.12,7.5
SUB00037,02/01/26,Essential,US,OOH,CMP013,02/01/26,04/15/26,Tablet,41,Love & Hip Hop Miami,Reality,Active,,12.44,False,False,27040.0,25,0.13,13.99
SUB00038,02/20/26,Annual Premium,US,Streaming,CMP007,02/10/26,03/20/26,Fire TV,37,Yellowjackets,Drama,Active,,13.53,True,False,39937.36,33,0.115,11.67
SUB00039,02/12/26,Essential,AU,Radio,CMP004,01/06/26,03/15/26,Tablet,35,Yellowjackets,Drama,Active,,13.81,True,False,41237.74,27,0.09,13.99
SUB00040,02/22/26,Annual Premium,UK,Social,CMP015,02/05/26,04/05/26,Tablet,21,UFC,Sports,At-Risk,,12.82,False,False,22618.05,24,0.15,11.67
SUB00041,02/20/26,Paramount+ with Showtime,US,Radio,CMP004,01/06/26,03/15/26,Roku,49,South Park,Comedy,Active,,15.43,False,True,41237.74,27,0.09,13.99
SUB00042,02/22/26,Paramount+ with Showtime,AU,Streaming,CMP007,02/10/26,03/20/26,Tablet,18,Ghosts,Comedy,Active,,16.1,False,True,39937.36,33,0.115,13.99
SUB00043,02/20/26,Paramount+ with Showtime,UK,Digital,CMP011,02/15/26,04/01/26,Roku,24,NCIS,Procedural,At-Risk,,14.34,False,True,45566.52,49,0.15,13.99
SUB00044,02/20/26,Annual Premium,MX,Digital,CMP010,01/15/26,03/31/26,Tablet,30,Paw Patrol,Family,Active,,9.52,True,True,40279.22,40,0.14,11.67
SUB00045,02/23/26,Essential,US,Digital,CMP011,02/15/26,04/01/26,Smart TV,23,South Park,Comedy,Active,,13.16,False,False,45566.52,49,0.15,13.99
