subscriber_id,signup_date,plan,country,acquisition_channel,campaign_id,campaign_name,campaign_start_date,campaign_end_date,primary_device,age,signup_show,show_genre,lifecycle_stage,churn_date,monthly_spend_usd,nps_score,is_bundled,has_showtime_add_on
SUB00001,02/19/26,Annual Essential,US,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Roku,44,RuPaul Drag Race All Stars,Reality,Active,,8.3,6.2,False,False
SUB00002,02/08/26,Essential,US,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Smart TV,59,Paw Patrol,Family,Active,,14.21,6.0,False,False
SUB00003,02/04/26,Paramount+ with Showtime,AU,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Mobile,60,Elsbeth,Procedural,Active,,13.87,,True,True
SUB00004,02/03/26,Essential,AU,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Tablet,45,The Curse,Comedy,Churned,03/20/26,12.76,5.5,False,False
SUB00005,02/03/26,Annual Essential,AU,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Smart TV,41,1923,Drama,Active,,5.55,2.3,True,False
SUB00006,02/23/26,Annual Premium,US,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Mobile,30,Sonic 3,Family,Churned,04/17/26,10.63,4.3,False,False
SUB00007,02/18/26,Annual Essential,US,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Roku,25,South Park,Comedy,Active,,8.06,3.4,True,False
SUB00008,02/07/26,Paramount+ with Showtime,MX,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Roku,34,Ghosts,Comedy,Churned,03/25/26,10.1,6.6,False,True
SUB00009,02/18/26,Paramount+ with Showtime,CA,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Mobile,30,Watson,Procedural,New,,12.2,6.7,True,True
SUB00010,02/28/26,Annual Essential,US,Social,CMP014,P+_Meta_Landman_Video,01/10/26,03/10/26,Desktop,43,NFL,Sports,Active,,7.37,,False,True
SUB00011,02/18/26,Annual Essential,MX,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Smart TV,29,South Park,Comedy,Active,,6.25,10.0,False,False
SUB00012,02/01/26,Essential,MX,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Smart TV,23,Tracker,Action,At-Risk,,10.94,8.3,True,False
SUB00013,02/17/26,Annual Premium,US,Social,CMP016,P+_Instagram_Tracker,03/01/26,04/30/26,Roku,40,RuPaul Drag Race All Stars,Reality,New,,10.35,2.2,False,False
SUB00014,02/27/26,Essential,MX,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Smart TV,40,Ghosts,Comedy,Churned,03/28/26,11.74,8.1,False,True
SUB00015,02/05/26,Essential,CA,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Fire TV,36,1923,Drama,At-Risk,,12.43,5.8,False,False
